ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
NR4A1,3.8508760002874824,10.494692128133634,9.217140955779536,7.718784880727108e-11,6.535495158511643e-7,12.924638633672744
SDC4,2.0758547189339307,7.5260128211364385,7.161601932138965,2.5428595190426085e-8,1.0765195773866882e-4,8.275770899615273
EGR1,4.830057312382045,8.787865186800207,6.550080149540498,1.554673212031396e-7,4.38780602875661e-4,6.769494028038492
VEGFA,1.6708277354721828,8.229874856679414,6.078736919750441,6.387858062208159e-7,0.001352149855317912,5.579403670501769
GABARAPL1,1.6909264280988738,6.951942225000365,5.897564880982306,1.1025925996686982e-6,0.0016991349117340513,5.116721285438354
ATF3,3.5190160305681806,6.5523530512084,5.86837498916717,1.2040639506796158e-6,0.0016991349117340513,5.041953601409002
SLC19A2,1.8629072810037366,7.905072722326594,5.716196765783666,1.9059297797313877e-6,0.002305358206426523,4.651300117447448
BTG2,3.0660597366710896,7.9851991431166,5.636787356572138,2.4223897429439997e-6,0.0025637967441883556,4.4469456980443915
FOS,4.58824829287632,7.846132272546213,5.493984930390282,4.472138970988867e-6,0.004207288963040305,3.759884665132324
HES1,1.715591180372523,5.878047923848442,5.211950803790556,8.732804690201768e-6,0.007394065731193837,3.350008758119289
IFRD1,1.7622983741639926,6.9487892903522415,5.06921621784269,1.3422038908573233e-5,0.009470366953240798,2.981001786465635
CSRNP1,1.9441161305250718,5.629600768391703,5.16666042575,1.1689494992092004e-5,0.00899772309982209,2.9672958274016388
DUSP1,2.7285586729898235,6.502848173187511,4.992097712705736,1.6923793985281206e-5,0.011022597205644304,2.781741821707419
CHORDC1,1.1542848585950853,6.200650883609838,4.77775612586199,3.217052326582548e-5,0.01945627289226745,2.2289078953217274
PIM1,1.3532209712283754,5.419296910667758,4.573402607864074,6.245536757019749e-5,0.03525397314779081,1.6269993085019472
DNAJA4,1.3652281602924052,6.668953737856824,4.511040547724698,7.114950824171874e-5,0.03765143039266453,1.5446478030113555
SLC25A25,1.6872895673914243,6.293049665512478,4.500265803959552,7.73917637444696e-5,0.03854565080143671,1.4444618100560271
SNAP47,1.1095684852025318,4.815691321674378,4.443061513356297,8.699331037639566e-5,0.040920686608719004,1.3712006182117857
IRF2BP2,0.9979808763579552,6.181008780653482,4.303267366986686,1.312825719869346e-4,0.05850365984280923,1.0160960717077154
B3GNT5,1.3516606121950057,7.3272610381115255,4.232380257994304,1.61570032634186e-4,0.06840067331568264,0.8369547603710679
USP2,0.9500833636114052,7.907039494326206,4.193804906674074,1.8083215726060652e-4,0.07146097422830466,0.7397612872295385
KLF10,1.3217784172089138,8.505779493486,4.184734329056616,1.8567868584182148e-4,0.07146097422830466,0.7169386308386985
RHEB,1.0307890538389177,5.490349578364083,4.156470585528826,2.0161131556968999e-4,0.0742192612577637,0.6459025567164822
PIK3R3,1.271589655856359,6.4236726759166025,4.084549837086483,2.4843953569342884e-4,0.08764739786317759,0.4657041921928009
SLC20A1,1.6154781169201389,6.594561718614295,4.030609681788235,2.903897738315435e-4,0.09834920860126715,0.33111772526120387
FOSL2,1.2896450318140644,6.426879943684134,3.9999712069444735,3.1722165486539527e-4,0.10330445199020391,0.2548981604718987
SMURF1,0.8077834705374718,4.476630681441066,3.930268745332094,3.8759559037425883e-4,0.12154710606292037,0.08214451584147575
PDE7A,0.8755447963763281,7.9309836471555455,3.836143175583985,5.072041571026209e-4,0.1533749142209961,-0.1496209521406202
PDK4,1.971994027226362,9.640468342825805,3.7779041147659638,5.984473355229328e-4,0.17378435303373835,-0.2920844106641347
HSPB8,0.99484842422128406,8.124395131396495,3.7678432725401607,6.157470876357801e-4,0.17378435303373835,-0.31661869142509236
ARHGEF10,-1.0747048494449647,4.465037830982743,-3.730899238323756,7.046261669551962e-4,0.19036975822346985,-0.4287301611910985
HNRNPU,0.7618716519180309,7.743982790863114,3.712726695123053,7.194794216547816e-4,0.19036975822346985,-0.4506111730695155
SEC13,-0.6888506439988342,6.2941745435309535,-3.6809751516690246,7.867274249890366e-4,0.1937695849250521,-0.5274742955854617
IRS2,1.21480631773637,5.360853712827642,3.6850080104143483,8.009844658529377e-4,0.1937695849250521,-0.546367880003376
PRKAG2,1.932931997958093,7.26354094585972,3.723517761591066,7.676389666612727e-4,0.1937695849250521,-0.5612555579309522
NSMAF,-0.9393364311974999,4.979103134889092,-3.5948640763216293,0.0010011658662844008,0.23546864971750062,-0.7346644557501634
BRIX1,0.890573416321756,4.362026266979508,3.649811678390437,0.0010428139739842182,0.2356039009217938,-0.7490580096173325
PPP1R18,0.9144348680161247,5.143412154325897,3.584938859279163,0.0010573932012552455,0.2356039009217938,-0.7824396175494686
HSPA1A,1.6341941224486654,5.908995448103702,3.518195631065002,0.0012387600505613164,0.2663346906692349,-0.917494296717229
CX3CL1,1.0345246088591997,4.911551075434039,3.512559283270308,0.0012582245927447023,0.2663346906692349,-0.930871425976397
GPAT3,0.870765700691436,5.811458331068822,3.486036099239299,0.0013538425898517196,0.2729282192446312,-0.993700113803416
WDR4,-1.1183325922995895,4.18617758952708,-3.575170091324231,0.0013171720010456934,0.27201208128911913,-1.001440184606519
DDIT3,0.9012518999119772,5.225760167782097,3.46498962735123,0.001434655117918678,0.27891332006380676,-1.043411960929335
BHLHE40,1.1763638701096282,8.532865091805048,3.46126948981477,0.001449413733649167,0.27891332006380676,-1.0521855627954126
CCN1,2.099537945364049,5.704082271962015,3.466257619995346,0.0015029674142846455,0.2827916688166243,-1.0855246625789556
METTL4,-1.0581813125474469,4.102666432602144,-3.446559577877652,0.0017783203089028914,0.3273269142495822,-1.2180062460481693
DIAPH1,0.7932228832142867,6.970328266959748,3.3758002529081774,0.0018315593302531696,0.3299534648777359,-1.2526191773456308
ALDH2,0.6938793797129641,5.2461757530948,3.329059406801588,0.002079646428971712,0.3608321773456811,-1.3612774798360778
CREB5,1.1340892052384008,5.830130242802369,3.3275451806708234,0.002088198498870719,0.3608321773456811,-1.3647859565845328
TOB1,0.81088665602591,8.107253661651036,3.302606707791746,0.002233979939196263,0.3744103140654646,-1.4224617279565628
TNKS,0.81145090068821,5.920199361022652,3.299104234954993,0.0022552174344323485,0.3744103140654646,-1.4305457189947806
SIK3,0.8115970138124435,6.142400605477105,3.285890051370168,0.0023370930461194136,0.3779868438828048,-1.4610087243361862
MIDN,1.3183792236614158,6.278991400239002,3.2750885360535475,0.002406121482032348,0.3779868438828048,-1.4858667233176028
RBMS1,-0.7845896177740608,5.26469073602837,-3.274384551923515,0.0024106873236886097,0.3779868438828048,-1.487485481886738
PLAT,-0.8620166522874144,4.37274559215501,-3.2571215040727495,0.002525274055090471,0.38875446226274574,-1.527128491822391
FNIP2,0.9964384347784128,6.28925866270894,3.248316435096758,0.002585703005153535,0.3909490597256247,-1.5473097579549409
CWC22,-0.8278427313019598,5.746163457313752,-3.239669066373868,0.0026463905847207672,0.39310507159352165,-1.567103882239337
CLCN7,0.9032820104978958,4.484307854978338,3.229637111464826,0.002718497162873896,0.39324195350598046,-1.5900352726710087
SMAD1,-0.675170820215369,4.630474446908908,-3.227978686826815,0.0027847672000721477,0.39324195350598046,-1.6069195808801728
