TF,t
ADNP,3.7066770176098736
ADNP2,9.532652080590681
AEBP2,5.400041000460558
AHR,2.9875513344498783
AHRR,0.2697139530815329
AIRE,-0.16914858631539412
ALX1,-0.10095488225346792
ALX3,-0.983042992068703
ALX4,-0.8748304983571281
AR,1.987728948490751
ARID2,-0.2753509407354242
ARID3A,2.2611608532014436
ARID3B,0.09932393992803791
ARID5A,-8.616838530532815
ARID5B,7.354589475087272
ARNT,1.0353465588695814
ARNT2,-3.044801294485204
ARNTL,-2.0289936430757813
ARNTL2,14.069810161816594
ARX,0.351526391735385
ASCL1,2.85722725489125
ASCL2,-1.0818612454418433
ATF1,1.8272362166160439
ATF2,0.32403588982394593
ATF3,-5.75728168946082
ATF4,3.0531987162938434
ATF5,2.745032813431698
ATF6,1.626198242491948
ATF6B,-10.345342936657453
ATF7,-0.5375960787653121
ATOH1,-1.695531899388361
ATOH8,-0.8143876229818411
BACH1,2.023043258599348
BACH2,0.9802718028850869
BARHL1,-2.250177633248615
BARHL2,0.04790136756915611
BARX1,-0.9472008850644238
BARX2,1.0835449775741735
BATF,2.870729177588214
BATF2,0.908059125240546
BATF3,11.20908750711781
BBX,-3.704770504778132
BCL11A,2.190463270086572
BCL11B,1.030514133460532
BCL6,-3.230673110439883
BCL6B,2.3198976860037632
BHLHA15,1.324509747986969
BHLHE22,-0.6005187599460091
BHLHE23,-0.6843345167463339
BHLHE40,-6.511612056152134
BHLHE41,0.8226026286721129
BNC1,2.3333252554859896
BNC2,-3.3094031707798037
BRF2,-0.17982143548830207
BSX,-0.282579548261744
CASZ1,0.37872940222858636
CBX2,0.48240485986295356
CDC5L,-0.8034943745417635
CDX1,0.014957065063922137
CEBPA,2.6157133693242365
CEBPB,2.583701552988651
CEBPD,-0.29178097346004733
CEBPG,0.18734060316848034
CEBPZ,-2.392779107953997
CENPB,-0.48940361415333683
CIC,3.519386033381868
CLOCK,1.2581949089116478
CREB1,3.5215348420898285
CREB3,2.8905600672802376
CREB3L1,2.3937241453209404
CREB3L2,3.082351104505106
CREB3L4,-5.789773989639636
CREB5,0.37143207391170446
CREBL2,-7.033609004952534
CREBZF,-3.3586968212990436
CREM,2.3741649415795174
CRX,-1.688173106033688
CSRNP1,16.98059764705042
CSRNP2,2.971197816169011
CSRNP3,-6.691027041108856
CTCF,1.5846431034366388
CTCFL,1.8633871336915304
CUX1,1.5423886861978076
CUX2,-0.26615394121591135
CXXC1,-3.623378070634608
CXXC4,3.3707549058289774
DBP,2.203321260456425
DDIT3,2.3406997266515956
DEAF1,0.12251215633044919
DLX1,-1.6594971460345416
DLX2,-0.4336377178301052
DLX3,-0.6179704183300818
DLX4,-0.4241427048397302
DLX5,0.1134454348298447
DLX6,0.41583671924144977
DMBX1,1.3775122981885721
DMRT3,-0.25841831197743037
DMRTA1,-3.447393687646869
DMTF1,-5.664517564882847
DNMT1,-0.10046895019323206
DUX4,-1.5027515080065934
DUXA,0.1211253996292706
E2F1,1.560033532039682
E2F2,-1.0837309748286796
E2F3,-0.19509223905602968
E2F4,1.4254099270128244
E2F5,0.2910242748199306
E2F6,-2.226661744997925
E2F7,1.9504339248277245
E2F8,-0.5092171092714471
E4F1,-0.15016500841487185
EBF1,0.4903001922327543
EBF2,-2.486080904898217
EBF3,-6.166298639222698
EBF4,-2.0521141310681377
EGR1,1.8415395397475467
EGR2,-0.0056861676518916195
EGR3,6.737189242378902
EGR4,3.5847246871176126
EHF,-1.1404296639907132
ELF1,2.1922471060891637
ELF2,0.4045241880209534
ELF3,-0.185126793199082
ELF4,8.514899324297607
ELF5,-1.7587637954292623
ELK1,2.531690483450381
ELK3,-3.177560845162383
ELK4,2.5265648651454673
EMX1,-0.04265078840018449
EMX2,-1.549734888967494
EN1,-0.5413173099689457
EN2,0.3709316173264099
EOMES,0.1018244191475177
EPAS1,3.3331027543369713
ERF,-3.4033638366166157
ERG,0.5171429288601257
ESR1,1.7438717628451932
ESR2,1.467602508396233
ESRRA,1.4301222947773364
ESRRB,-0.6016411344962808
ESRRG,-1.475565630319679
ESX1,0.20199890688693478
ETS1,5.00303031247366
ETS2,4.255781515313235
ETV1,-0.8672478960234724
ETV2,-1.1066813500287158
ETV3,-6.166388798527387
ETV4,-1.5003361895298717
ETV5,1.1849391444467372
ETV6,-2.5179895732961994
ETV7,-7.940054034336831
EVX1,0.4841297441719633
EVX2,-1.6916803384606125
FEV,1.3588132446995476
FEZF1,-1.2274319584309445
FIGLA,-1.6710425131096571
FIZ1,1.42556921792106
FLI1,1.838243714019839
FOS,3.31693482442155
FOSB,4.322242336043705
FOSL1,-0.2297870887159773
FOSL2,0.09965924446910657
FOXA1,0.027091296133704878
FOXA3,-0.9831603528931435
FOXB1,-0.5225393991230965
FOXC1,0.8394935459692947
FOXC2,-0.6637646403200186
FOXD1,-2.4117115483698734
FOXD2,-1.3179252971201971
FOXD3,-0.4238359826901473
FOXF1,4.499297979336749
FOXF2,-0.6303946193716582
FOXG1,0.025174615443172402
FOXH1,-0.5969987711319685
FOXI1,-1.5667445038946675
FOXJ1,0.42953381146696656
FOXJ2,-0.6248064125999787
FOXJ3,2.4368871851740534
FOXK1,-1.6424381944235638
FOXK2,2.5349814780689615
FOXL1,-0.14317423102173332
FOXL2,4.683826159747301
FOXM1,0.26428682277414584
FOXN1,-1.5049661914780004
FOXN2,0.1420455344363712
FOXN3,0.372630458345891
FOXN4,-0.01428549909671954
FOXO1,0.7452872983471119
FOXO3,1.3002674009273723
FOXO4,2.191387544182788
FOXO6,-0.9824418633710016
FOXP1,-1.0494171761041968
FOXP2,-1.5657381651348738
FOXP3,-0.49759310655650957
FOXP4,-0.5623371569567253
FOXQ1,-0.939685917579713
FOXS1,2.2008370549198424
GABPA,0.8479100826401198
GATA2,-0.6174740368896999
GATA3,0.06284572699973608
GATA4,2.194712500860156
GATA5,-2.6415747594075594
GATA6,1.0205630478071153
GATAD2A,-15.622073797469444
GATAD2B,-0.21138094479321232
GBX1,-0.26537052282964807
GBX2,-3.082539725568842
GCM1,0.1457807778654216
GCM2,0.2651323174514827
GFI1,-0.3050348923761557
GFI1B,0.18562782784242618
GLI1,-0.4919180628139961
GLI2,-1.6182005367732515
GLI3,1.1783114119197708
GLI4,-1.0527778070765696
GLIS1,1.323714033515231
GLIS2,3.399441866848259
GLIS3,10.716287898070265
GLYR1,3.0202575903135944
GMEB1,2.700211724402093
GMEB2,6.542715344773724
GRHL1,4.702542672352204
GRHL2,1.5232326963493557
GRHL3,0.44891290858882704
GSC,-0.35718455338324084
GSC2,-1.3289242910197991
GSX1,0.30868175367020617
GSX2,-1.9607949018653918
GTF2B,1.2508302323909413
GTF3A,-0.7298367958084921
GZF1,-6.676522150096326
HAND1,0.5615064892354775
HAND2,-2.309373123737187
HBP1,-2.474700621683291
HDX,2.8999202269553956
HES1,0.3133877753208866
HES2,-0.3403302686503355
HES4,-3.699681435495163
HES5,0.38693453979310605
HES6,1.6993177321547124
HES7,1.1450407161956664
HESX1,-2.4142107053587756
HEY1,-1.510434865519275
HEY2,-2.009206270123057
HEYL,3.389902440102073
HHEX,0.6509658821296324
HIC1,-1.2180606869027766
HIC2,-1.156865265578221
HIF1A,4.699198990034683
HIF3A,-2.1195704773955097
HINFP,1.8702194032448576
HIVEP1,10.20884041749687
HIVEP2,13.189721191751067
HIVEP3,8.687064098953833
HLF,-2.030698643945879
HLX,1.4479006500261882
HMBOX1,-0.7062774565904238
HMG20A,-6.857765958239381
HMG20B,-3.196124662467885
HMGA1,1.155892431972407
HMGA2,1.1251931020359738
HMGN3,4.447055742279598
HMX1,-0.3957843956155845
HMX2,-0.9317648349647442
